Acehnese ACE
Afrikaans AF
Aragonese AN
Arabic AR
Assamese AS
Aymara AY
Azerbaijani AZ
Bashkir BA
Belarusian BE
Bulgarian BG
Bhojpuri BHO
Bengali BN
Breton BR
Bosnian BS
Catalan CA
Cebuano CEB
Kurdish (Sorani) CKB
Czech CS
Welsh CY
Danish DA
German DE
Greek EL
English EN
Esperanto EO
Spanish ES
Estonian ET
Basque EU
Persian FA
Finnish FI
French FR
Irish GA
Galician GL
Guarani GN
Konkani GOM
Gujarati GU
Hausa HA
Hebrew HE
Hindi HI
Croatian HR
Haitian Creole HT
Hungarian HU
Armenian HY
Indonesian ID
Igbo IG
Icelandic IS
Italian IT
Japanese JA
Javanese JV
Georgian KA
Kazakh KK
Kurdish (Kurmanji) KMR
Korean KO
Kyrgyz KY
Latin LA
Luxembourgish LB
Lombard LMO
Lingala LN
Lithuanian LT
Latvian LV
Maithili MAI
Malagasy MG
Maori MI
Macedonian MK
Malayalam ML
Mongolian MN
Marathi MR
Malay MS
Maltese MT
Burmese MY
Norwegian Bokmål NB
Nepali NE
Dutch NL
Occitan OC
Oromo OM
Punjabi PA
Pangasinan PAG
Kapampangan PAM
Polish PL
Dari PRS
Pashto PS
Portuguese PT
Quechua QU
Romanian RO
Russian RU
Sanskrit SA
Sicilian SCN
Slovak SK
Slovenian SL
Albanian SQ
Serbian SR
Sesotho ST
Sundanese SU
Swedish SV
Swahili SW
Tamil TA
Telugu TE
Tajik TG
Thai TH
Turkmen TK
Tagalog TL
Tswana TN
Turkish TR
Tsonga TS
Tatar TT
Ukrainian UK
Urdu UR
Uzbek UZ
Vietnamese VI
Wolof WO
Xhosa XH
Yiddish YI
Cantonese YUE
Chinese ZH
Zulu ZU
