Afrikaans afr
Albanian sqi
Amharic amh
Arabic ara
Armenian hye
Assamese asm
Azerbaijani aze
Azerbaijani_Cyrillic aze_cyrl
Basque eus
Belarusian bel
Bengali ben
Bosnian bos
Breton bre
Bulgarian bul
Burmese mya
Catalan cat
Cebuano ceb
Central_Khmer khm
Cherokee chr
Chinese_Simplified chi_sim
Chinese_Simplified_Vertical chi_sim_vert
Chinese_Traditional chi_tra
Chinese_Traditional_Vertical chi_tra_vert
Corsican cos
Croatian hrv
Czech ces
Danish dan
Dhivehi div
Dutch nld
Dzongkha dzo
English eng
English_Middle enm
Esperanto epo
Estonian est
Faroese fao
Filipino fil
Finnish fin
French fra
French_Middle frm
Galician glg
Georgian kat
Georgian_Old kat_old
German deu
German_Fraktur_Latin deu_latf
German_Fraktur frk
Greek_Ancient grc
Greek ell
Gujarati guj
Haitian hat
Hebrew heb
Hindi hin
Hungarian hun
Icelandic isl
Indonesian ind
Inuktitut iku
Irish gle
Italian ita
Italian_Old ita_old
Japanese jpn
Japanese_Vertical jpn_vert
Javanese jav
Kannada kan
Kazakh kaz
Kyrgyz kir
Korean kor
Korean_Vertical kor_vert
Kurmanji kmr
Lao lao
Latin lat
Latvian lav
Lithuanian lit
Luxembourgish ltz
Macedonian mkd
Malay msa
Malayalam mal
Maltese mlt
Maori mri
Marathi mar
Math equ
Mongolian mon
Nepali nep
Norwegian nor
Occitan oci
OSD osd
Oriya ori
Punjabi pan
Pashto pus
Persian fas
Polish pol
Portuguese por
Quechua que
Romanian ron
Russian rus
Sanskrit san
Scottish gla
Serbian srp
Serbian_Latin srp_latn
Sindhi snd
Sinhala sin
Slovak slk
Slovenian slv
Spanish spa
Spanish_Old spa_old
Sundanese sun
Swahili swa
Swedish swe
Syriac syr
Tajik tgk
Tamil tam
Tatar tat
Telugu tel
Thai tha
Tibetan bod
Tigrinya tir
Tonga ton
Turkish tur
Uighur uig
Ukrainian ukr
Urdu urd
Uzbek uzb
Uzbek_Cyrillic uzb_cyrl
Vietnamese vie
Welsh cym
Western_Frisian fry
Yiddish yid
Yoruba yor
